month,monthly_expiry_date,next_monthly_expiry,period_start,period_end,calendar_days,trading_days,start_open,start_close,end_close,period_high,period_low,true_volatility_pct,direction,upward_vol_pct,downward_vol_pct,net_change_pct,range_abs
2021-01,2021-01-28,2021-02-25,2021-01-29,2021-02-25,28,20,13946.6,13634.6,15097.35,15431.75,13596.75,10.648831973384192,up,10.648831973384192,2.5084966945348715,8.251114967088753,1835.0
2021-02,2021-02-25,2021-03-25,2021-02-26,2021-03-25,28,19,14888.6,14529.15,14324.9,15336.3,14264.4,4.19246940612281,down,3.00699864325725,4.19246940612281,-3.786118238115073,1071.8999999999996
2021-03,2021-03-25,2021-04-29,2021-03-26,2021-04-29,35,21,14506.3,14507.3,14894.9,15044.35,14151.4,3.709078124676872,up,3.709078124676872,2.4465232347324934,2.6788360919048992,892.9500000000007
2021-04,2021-04-29,2021-05-27,2021-04-30,2021-05-27,28,19,14747.35,14631.1,15337.85,15384.55,14416.25,4.32077627505958,up,4.32077627505958,2.245149128487493,4.004109212841629,968.2999999999993
2021-05,2021-05-27,2021-06-24,2021-05-28,2021-06-24,28,20,15421.2,15435.65,15790.45,15901.6,15374.0,3.1151920732498093,up,3.1151920732498093,0.3060721604025674,2.394431042979794,527.6000000000004
2021-06,2021-06-24,2021-07-29,2021-06-25,2021-07-29,35,24,15839.35,15860.35,15778.45,15962.25,15513.45,2.0575339265815806,down,0.7759156783580111,2.0575339265815806,-0.3844854744670686,448.7999999999993
2021-07,2021-07-29,2021-08-26,2021-07-30,2021-08-26,28,19,15800.6,15763.05,16636.9,16712.45,15744.85,5.770983380377963,up,5.770983380377963,0.35283470247965265,5.292836980874151,967.6000000000004
2021-08,2021-08-26,2021-09-30,2021-08-27,2021-09-30,35,24,16642.55,16705.2,17618.15,17947.65,16565.6,7.841947297739843,up,7.841947297739843,0.4623690480124784,5.862082433280971,1382.050000000003
2021-09,2021-09-30,2021-10-28,2021-10-01,2021-10-28,28,19,17531.9,17532.05,17857.25,18604.45,17452.9,6.117705439798306,up,6.117705439798306,0.4506071789138656,1.8557600716408291,1151.5499999999993
2021-10,2021-10-28,2021-11-25,2021-10-29,2021-11-25,28,18,17833.05,17671.65,17536.25,18210.15,17216.1,3.459587675692048,down,2.1146130359080595,3.459587675692048,-1.6643255079753565,994.0500000000029
2021-11,2021-11-25,2021-12-30,2021-11-26,2021-12-30,35,25,17338.75,17026.45,17203.95,17639.5,16410.2,5.355345685242588,down,1.7345541056881262,5.355345685242588,-0.7774493547689382,1229.2999999999993
2021-12,2021-12-30,2022-01-27,2021-12-31,2022-01-27,28,19,17244.5,17354.05,17110.15,18350.95,16836.8,6.416248658992727,up,6.416248658992727,2.364232073994611,-0.7790889848937258,1514.1500000000015
2022-01,2022-01-27,2022-02-24,2022-01-28,2022-02-24,28,20,17208.3,17101.95,16247.95,17794.6,16203.25,5.840495574809826,down,3.4070768175822095,5.840495574809826,-5.580737202396509,1591.3499999999985
2022-02,2022-02-24,2022-03-31,2022-02-25,2022-03-31,35,23,16515.65,16658.4,17464.75,17559.8,15671.45,6.322185321195338,up,6.322185321195338,5.111515441414662,5.746670582144805,1888.3499999999985
2022-03,2022-03-31,2022-04-28,2022-04-01,2022-04-28,28,18,17436.9,17670.45,17245.05,18114.65,16824.7,3.886872093089941,up,3.886872093089941,3.5109451794757134,-1.1002529119281648,1289.9500000000007
2022-04,2022-04-28,2022-05-26,2022-04-29,2022-05-26,28,19,17329.25,17102.55,16170.15,17377.65,15735.75,9.195435463161996,down,0.2792965650561995,9.195435463161996,-6.68869108588081,1641.9000000000015
2022-05,2022-05-26,2022-06-30,2022-05-27,2022-06-30,35,25,16296.6,16352.45,15780.25,16793.85,15183.4,6.830872697372463,down,3.051249953978119,6.830872697372463,-3.168452315206855,1610.449999999999
2022-06,2022-06-30,2022-07-28,2022-07-01,2022-07-28,28,20,15703.7,15752.05,16929.6,16947.65,15511.05,7.92138158523151,up,7.92138158523151,1.2267809497124975,7.806440520386901,1436.6000000000022
2022-07,2022-07-28,2022-08-25,2022-07-29,2022-08-25,28,18,17079.5,17158.25,17522.45,17992.2,17018.15,5.343833250387896,up,5.343833250387896,0.3592025527679297,2.5934599959015237,974.0499999999993
2022-08,2022-08-25,2022-09-29,2022-08-26,2022-09-29,35,24,17619.3,17558.9,16818.1,18096.15,16788.6,4.714716248659146,down,2.70640717849178,4.714716248659146,-4.547286214548823,1307.550000000003
2022-09,2022-09-29,2022-10-27,2022-09-30,2022-10-27,28,18,16798.05,17094.35,17736.95,17811.5,16747.7,6.033140751456275,up,6.033140751456275,0.2997371718741077,5.589339238780701,1063.7999999999993
2022-10,2022-10-27,2022-11-24,2022-10-28,2022-11-24,28,19,17756.4,17786.8,18484.1,18529.7,17723.7,4.355049446959964,up,4.355049446959964,0.18415895113874842,4.098240634362805,806.0
2022-11,2022-11-24,2022-12-29,2022-11-25,2022-12-29,35,25,18528.45,18512.75,18191.0,18887.6,17774.25,4.070496992462946,down,1.9383704519266198,4.070496992462946,-1.8212532618756598,1113.3499999999985
2022-12,2022-12-29,2023-02-23,2022-12-30,2023-02-23,56,39,18259.1,18105.3,17511.25,18265.25,17353.4,4.960266387718985,down,0.03368183535881536,4.960266387718985,-4.095765946842937,911.8499999999985
2023-02,2023-02-23,2023-04-27,2023-02-24,2023-04-27,63,40,17591.35,17465.8,17915.05,17931.6,16828.35,4.337358986092597,down,1.934189246419405,4.337358986092597,1.8401089171666802,1103.25
2023-04,2023-04-27,2023-05-25,2023-04-28,2023-05-25,28,19,17950.4,18065.0,18321.15,18458.9,17885.3,2.832805954184865,up,2.832805954184865,0.3626660130136497,2.0654135840984043,573.6000000000022
2023-05,2023-05-25,2023-07-27,2023-05-26,2023-07-27,63,44,18368.35,18499.35,19659.9,19991.85,18333.15,8.83857287127042,up,8.83857287127042,0.19163397909990332,7.031388230298329,1658.699999999997
2023-07,2023-07-27,2023-08-31,2023-07-28,2023-08-31,35,24,19659.75,19646.05,19253.8,19795.6,19223.65,2.2182377700631926,down,0.6910057350678342,2.2182377700631926,-2.0648787497297816,571.9499999999971
2023-08,2023-08-31,2023-09-28,2023-09-01,2023-09-28,28,19,19258.15,19435.3,19523.55,20222.45,19255.7,5.0072307049223275,up,5.0072307049223275,0.012721886577894177,1.3781178358253405,966.75
2023-09,2023-09-28,2023-10-26,2023-09-29,2023-10-26,28,18,19581.2,19638.3,18857.25,19849.75,18837.85,3.7962433354442124,down,1.3714685514677307,3.7962433354442124,-3.69716871284702,1011.9000000000015
2023-10,2023-10-26,2023-11-30,2023-10-27,2023-11-30,35,24,18928.75,19047.25,20133.15,20158.7,18926.65,6.49778775671928,up,6.49778775671928,0.01109423496003986,6.362807898038706,1232.0499999999993
2023-11,2023-11-30,2023-12-28,2023-12-01,2023-12-28,28,19,20194.1,20267.9,21778.7,21801.45,20183.7,7.9595030231602415,up,7.9595030231602415,0.05150019064973343,7.846846356113926,1617.75
2023-12,2023-12-28,2024-01-25,2023-12-29,2024-01-25,28,20,21737.65,21731.4,21352.6,22124.15,21137.2,2.762258109777279,down,1.7780210832357684,2.762258109777279,-1.7713506289778465,986.9500000000007
2024-01,2024-01-25,2024-02-29,2024-01-29,2024-02-29,32,24,21433.1,21737.6,21982.8,22297.5,21429.6,4.033014356299375,up,4.033014356299375,0.01632988228487713,2.564724654856277,867.9000000000015
2024-02,2024-02-29,2024-03-28,2024-03-01,2024-03-28,28,19,22048.3,22338.75,22326.9,22526.6,21710.2,2.1693282475292848,up,2.1693282475292848,1.5334515586235609,1.2635894830894092,816.3999999999978
2024-03,2024-03-28,2024-04-25,2024-04-01,2024-04-25,25,17,22455.0,22462.0,22570.35,22775.7,21777.65,3.0164773992429237,down,1.4281897127588543,3.0164773992429237,0.5136940547762125,998.0499999999993
2024-04,2024-04-25,2024-05-30,2024-04-26,2024-05-30,35,24,22620.4,22419.95,22488.65,23110.8,21821.05,3.5337571395731384,down,2.167954589662419,3.5337571395731384,-0.5824388604976038,1289.75
2024-05,2024-05-30,2024-06-27,2024-05-31,2024-06-27,28,19,22568.1,22530.7,24044.5,24087.45,21281.45,6.732290268121828,up,6.732290268121828,5.70118884620326,6.541977392868701,2806.0
2024-06,2024-06-27,2024-07-25,2024-06-28,2024-07-25,28,19,24085.9,24010.6,24406.1,24854.8,23985.8,3.1923241398494464,up,3.1923241398494464,0.4155958465326277,1.3294084921053275,869.0
2024-07,2024-07-25,2024-08-29,2024-07-26,2024-08-29,35,24,24423.35,24834.85,25151.95,25192.9,23893.7,3.150878155535596,up,3.150878155535596,2.1686214217132287,2.9832107389035585,1299.2000000000007
2024-08,2024-08-29,2024-09-26,2024-08-30,2024-09-26,28,20,25249.7,25235.9,26216.05,26250.9,24753.15,3.965195626086649,up,3.965195626086649,1.9665580185111082,3.827174184247728,1497.75
2024-09,2024-09-26,2024-10-31,2024-09-27,2024-10-31,35,24,26248.25,26178.95,24205.35,26277.35,24073.9,8.283790347927951,down,0.11086453382605904,8.283790347927951,-7.782995056813317,2203.449999999997
2024-10,2024-10-31,2024-11-28,2024-11-01,2024-11-28,28,18,24302.75,24304.35,23914.15,24537.6,23263.15,4.277705197971417,down,0.9663515445782824,4.277705197971417,-1.5989959983952373,1274.449999999997
2024-11,2024-11-28,2024-12-26,2024-11-29,2024-12-26,28,19,23927.15,24131.1,23750.2,24857.75,23537.35,3.889305663231929,up,3.889305663231929,1.6291116994711148,-0.7395364679872058,1320.4000000000015
2024-12,2024-12-26,2025-01-30,2024-12-27,2025-01-30,35,25,23801.4,23813.4,23249.5,24226.7,22786.9,4.262354315292378,down,1.7868696799347907,4.262354315292378,-2.318771164721409,1439.7999999999993
2025-01,2025-01-30,2025-02-27,2025-01-31,2025-02-27,28,20,23296.75,23508.4,22545.05,23807.3,22508.4,3.383948404820409,down,2.19150739910073,3.383948404820409,-3.226630323972231,1298.8999999999978
2025-02,2025-02-27,2025-03-27,2025-02-28,2025-03-27,28,19,22433.4,22124.7,23591.95,23869.6,21964.6,6.402061212299505,up,6.402061212299505,2.0897411894764186,5.164397728387134,1905.0
2025-03,2025-03-27,2025-04-24,2025-03-28,2025-04-24,28,16,23600.4,23519.35,24246.7,24359.3,21743.65,7.867451399128828,down,3.215623464009075,7.867451399128828,2.738512906560903,2615.649999999998
2025-04,2025-04-24,2025-05-29,2025-04-25,2025-05-29,35,24,24289.0,24039.35,24833.6,25116.25,23847.85,3.405862736218041,up,3.405862736218041,1.8162542714809233,2.2421672361974494,1268.4000000000015
